  aperture filter progID V3IdlYAngle_mean V3IdlYAngle_mean_err V3IdlYAngle_stdev V3IdlYAngle_Ngood V3IdlYAngle_Nclip    V2ref_mean V2ref_mean_err V2ref_stdev V2ref_Ngood V2ref_Nclip    V3ref_mean V3ref_mean_err V3ref_stdev V3ref_Ngood V3ref_Nclip
nrca1_full  f210m  01476      -0.55277083           0.00143543        0.00379778                 8                 0  120.56868648     0.00337549  0.00893071           8           0 -527.50366813     0.00274643  0.00726638           8           0
nrca1_full  f210m  04447      -0.55069691           0.00175372        0.00392143                 6                 2  120.58605702     0.00684909  0.01677677           7           1 -527.49887364     0.00369152  0.00904234           7           1
nrca1_full  f210m    all      -0.55188201           0.00106753        0.00384904                14                 2  120.57679274     0.00414873  0.01552312          15           1 -527.50143070     0.00219694  0.00822020          15           1
nrca2_full  f210m  01476      -0.20860525           0.00074599        0.00197370                 8                 0  119.72923805     0.00516374  0.01366198           8           0 -459.78644207     0.00267833  0.00708620           8           0
nrca2_full  f210m  04447      -0.20569852           0.00175255        0.00429285                 7                 1  119.75242987     0.00947852  0.02321754           7           1 -459.78176540     0.00387621  0.00949473           7           1
nrca2_full  f210m    all      -0.20724878           0.00092962        0.00347833                15                 1  119.74006090     0.00578037  0.02162817          15           1 -459.78425962     0.00222927  0.00834117          15           1
nrca3_full  f210m  01476       0.27949377           0.00100060        0.00264733                 8                 0   51.93812724     0.00332409  0.00879471           8           0 -527.93093979     0.00388896  0.01028921           8           0
nrca3_full  f210m  04447       0.28508701           0.00164337        0.00402543                 7                 1   51.95536941     0.00718824  0.01760751           7           1 -527.91860912     0.00616064  0.01509042           7           1
nrca3_full  f210m    all       0.28210395           0.00115855        0.00433489                15                 1   51.94617359     0.00423269  0.01583727          15           1 -527.92752724     0.00300240  0.01082531          14           2
nrca4_full  f210m  01476       0.09744962           0.00111475        0.00294935                 8                 0   52.34879803     0.00498494  0.01318891           8           0 -459.90453445     0.00370763  0.00980947           8           0
nrca4_full  f210m  04447       0.10329683           0.00206994        0.00507030                 7                 1   52.37074589     0.00917251  0.02246797           7           1 -459.89234880     0.00629132  0.01541052           7           1
nrca4_full  f210m    all       0.10017832           0.00132245        0.00494816                15                 1   52.35904036     0.00555348  0.02077923          15           1 -459.90117843     0.00299128  0.01078522          14           2
nrca5_full  f335m  01476      -0.06459162           0.00110448        0.00292217                 8                 0   85.91694494     0.00418044  0.01106040           8           0 -493.50681653     0.00320923  0.00849083           8           0
nrca5_full  f335m  04447      -0.06024768           0.00215329        0.00527447                 7                 1   85.93754865     0.00842461  0.02063599           7           1 -493.49764660     0.00477440  0.01169483           7           1
nrca5_full  f335m    all      -0.06338311           0.00096199        0.00346851                14                 2   85.92656001     0.00504886  0.01889112          15           1 -493.50253723     0.00289193  0.01082062          15           1
nrcb1_full  f210m  01476       0.34431696           0.00057922        0.00115843                 5                 3 -122.43825454     0.00507539  0.01342823           8           0 -457.71438526     0.00715963  0.01894259           8           0
nrcb1_full  f210m  04447       0.34744740           0.00255432        0.00625678                 7                 1 -122.41625077     0.00948195  0.02322594           7           1 -457.68793253     0.01222603  0.02994754           7           1
nrcb1_full  f210m    all       0.34481904           0.00138479        0.00518139                15                 1 -122.42798611     0.00567236  0.02122404          15           1 -457.70675371     0.00587874  0.02119610          14           2
nrcb2_full  f210m  01476       0.84557318           0.00091281        0.00241507                 8                 0 -122.68816618     0.00399705  0.01057521           8           0 -525.42942605     0.00699702  0.01851238           8           0
nrcb2_full  f210m  04447       0.85061073           0.00204787        0.00501625                 7                 1 -122.67052278     0.00704585  0.01725873           7           1 -525.40062721     0.01289638  0.03158954           7           1
nrcb2_full  f210m    all       0.84655599           0.00083996        0.00290970                13                 3 -122.67993259     0.00436368  0.01632740          15           1 -525.42087812     0.00618166  0.02228829          14           2
nrcb3_full  f210m  01476      -0.45363049           0.00113636        0.00300653                 8                 0  -54.62150630     0.00458070  0.01211940           8           0 -457.70900355     0.00591132  0.01563989           8           0
nrcb3_full  f210m  04447      -0.44743212           0.00233561        0.00572104                 7                 1  -54.59851794     0.00899327  0.02202893           7           1 -457.68731254     0.01053125  0.02579618           7           1
nrcb3_full  f210m    all      -0.45164689           0.00116554        0.00420240                14                 2  -54.61077840     0.00549245  0.02055087          15           1 -457.70291293     0.00489397  0.01764545          14           2
nrcb4_full  f210m  01476      -0.34069758           0.00154439        0.00408606                 8                 0  -54.39475689     0.00343491  0.00908791           8           0 -525.63703533     0.00571222  0.01511311           8           0
nrcb4_full  f210m  04447      -0.33548684           0.00206828        0.00506622                 7                 1  -54.37750175     0.00723515  0.01772243           7           1 -525.61399475     0.01025577  0.02512140           7           1
nrcb4_full  f210m    all      -0.33826590           0.00137810        0.00515639                15                 1  -54.38670449     0.00427033  0.01597811          15           1 -525.63030666     0.00484524  0.01746975          14           2
nrcb5_full  f335m  01476       0.02253280           0.00095215        0.00233228                 7                 0  -89.41330302     0.00470497  0.01152477           7           0 -491.38168510     0.00438263  0.00759095           4           3
nrcb5_full  f335m  04447       0.02538060           0.00221042        0.00541440                 7                 1  -89.39234172     0.00823669  0.02017569           7           1 -491.34188964     0.01126528  0.02759419           7           1
nrcb5_full  f335m    all       0.02319705           0.00095703        0.00331526                13                 2  -89.40282237     0.00531665  0.01916946          14           1 -491.36012629     0.00582880  0.02019154          13           2
