  aperture filter progID V3IdlYAngle_mean V3IdlYAngle_mean_err V3IdlYAngle_stdev V3IdlYAngle_Ngood V3IdlYAngle_Nclip    V2ref_mean V2ref_mean_err V2ref_stdev V2ref_Ngood V2ref_Nclip    V3ref_mean V3ref_mean_err V3ref_stdev V3ref_Ngood V3ref_Nclip
nrca1_full  f210m  04447      -0.55069691           0.00175372        0.00392143                 6                 2  120.58605702     0.00684909  0.01677677           7           1 -527.49887364     0.00369152  0.00904234           7           1
nrca2_full  f210m  04447      -0.20569852           0.00175255        0.00429285                 7                 1  119.75242987     0.00947852  0.02321754           7           1 -459.78176540     0.00387621  0.00949473           7           1
nrca3_full  f210m  04447       0.28508701           0.00164337        0.00402543                 7                 1   51.95536941     0.00718824  0.01760751           7           1 -527.91860912     0.00616064  0.01509042           7           1
nrca4_full  f210m  04447       0.10329683           0.00206994        0.00507030                 7                 1   52.37074589     0.00917251  0.02246797           7           1 -459.89234880     0.00629132  0.01541052           7           1
nrca5_full  f335m  04447      -0.06024768           0.00215329        0.00527447                 7                 1   85.93754865     0.00842461  0.02063599           7           1 -493.49764660     0.00477440  0.01169483           7           1
nrcb1_full  f210m  04447       0.34744740           0.00255432        0.00625678                 7                 1 -122.41625077     0.00948195  0.02322594           7           1 -457.68793253     0.01222603  0.02994754           7           1
nrcb2_full  f210m  04447       0.85061073           0.00204787        0.00501625                 7                 1 -122.67052278     0.00704585  0.01725873           7           1 -525.40062721     0.01289638  0.03158954           7           1
nrcb3_full  f210m  04447      -0.44743212           0.00233561        0.00572104                 7                 1  -54.59851794     0.00899327  0.02202893           7           1 -457.68731254     0.01053125  0.02579618           7           1
nrcb4_full  f210m  04447      -0.33548684           0.00206828        0.00506622                 7                 1  -54.37750175     0.00723515  0.01772243           7           1 -525.61399475     0.01025577  0.02512140           7           1
nrcb5_full  f335m  04447       0.02538060           0.00221042        0.00541440                 7                 1  -89.39234172     0.00823669  0.02017569           7           1 -491.34188964     0.01126528  0.02759419           7           1
