  aperture filter progID V3IdlYAngle_mean V3IdlYAngle_mean_err V3IdlYAngle_stdev V3IdlYAngle_Ngood V3IdlYAngle_Nclip    V2ref_mean V2ref_mean_err V2ref_stdev V2ref_Ngood V2ref_Nclip    V3ref_mean V3ref_mean_err V3ref_stdev V3ref_Ngood V3ref_Nclip
nrca1_full  f210m    all      -0.55188201           0.00106753        0.00384904                14                 2  120.57679274     0.00414873  0.01552312          15           1 -527.50143070     0.00219694  0.00822020          15           1
nrca2_full  f210m    all      -0.20724878           0.00092962        0.00347833                15                 1  119.74006090     0.00578037  0.02162817          15           1 -459.78425962     0.00222927  0.00834117          15           1
nrca3_full  f210m    all       0.28210395           0.00115855        0.00433489                15                 1   51.94617359     0.00423269  0.01583727          15           1 -527.92752724     0.00300240  0.01082531          14           2
nrca4_full  f210m    all       0.10017832           0.00132245        0.00494816                15                 1   52.35904036     0.00555348  0.02077923          15           1 -459.90117843     0.00299128  0.01078522          14           2
nrca5_full  f335m    all      -0.06338311           0.00096199        0.00346851                14                 2   85.92656001     0.00504886  0.01889112          15           1 -493.50253723     0.00289193  0.01082062          15           1
nrcb1_full  f210m    all       0.34481904           0.00138479        0.00518139                15                 1 -122.42798611     0.00567236  0.02122404          15           1 -457.70675371     0.00587874  0.02119610          14           2
nrcb2_full  f210m    all       0.84655599           0.00083996        0.00290970                13                 3 -122.67993259     0.00436368  0.01632740          15           1 -525.42087812     0.00618166  0.02228829          14           2
nrcb3_full  f210m    all      -0.45164689           0.00116554        0.00420240                14                 2  -54.61077840     0.00549245  0.02055087          15           1 -457.70291293     0.00489397  0.01764545          14           2
nrcb4_full  f210m    all      -0.33826590           0.00137810        0.00515639                15                 1  -54.38670449     0.00427033  0.01597811          15           1 -525.63030666     0.00484524  0.01746975          14           2
nrcb5_full  f335m    all       0.02319705           0.00095703        0.00331526                13                 2  -89.40282237     0.00531665  0.01916946          14           1 -491.36012629     0.00582880  0.02019154          13           2
