                                                                                                          nrc_filename progID   aperture filter   pupil  fgs_V2ref  fgs_V3ref  fgs_V3IdlYAngle      V2ref       V3ref  V3IdlYAngle  siaf_V2ref  siaf_V3ref  siaf_V3IdlYAngle
/ifs/jwst/wit/nircam/distortions/coron_test/4447/JHAT-4447-A2-F210M-RND-GAIA/jw04447003004_02101_00001_nrca2_jhat.fits  04447 nrca2_full  f210m maskrnd    206.407   -697.765        -1.241204 117.856825 -420.231041    -0.005594  119.789141 -459.825901         -0.199295
/ifs/jwst/wit/nircam/distortions/coron_test/4447/JHAT-4447-A2-F210M-RND-GAIA/jw04447003004_02101_00002_nrca2_jhat.fits  04447 nrca2_full  f210m maskrnd    206.407   -697.765        -1.241204 117.859078 -420.231312    -0.006257  119.789141 -459.825901         -0.199295
/ifs/jwst/wit/nircam/distortions/coron_test/4447/JHAT-4447-A2-F210M-RND-GAIA/jw04447003004_02101_00003_nrca2_jhat.fits  04447 nrca2_full  f210m maskrnd    206.407   -697.765        -1.241204 117.843212 -420.234777    -0.011492  119.789141 -459.825901         -0.199295
/ifs/jwst/wit/nircam/distortions/coron_test/4447/JHAT-4447-A2-F210M-RND-GAIA/jw04447003004_02101_00004_nrca2_jhat.fits  04447 nrca2_full  f210m maskrnd    206.407   -697.765        -1.241204 117.847265 -420.234529    -0.009010  119.789141 -459.825901         -0.199295
/ifs/jwst/wit/nircam/distortions/coron_test/4447/JHAT-4447-A2-F210M-RND-GAIA/jw04447003004_02101_00005_nrca2_jhat.fits  04447 nrca2_full  f210m maskrnd    206.407   -697.765        -1.241204 117.867091 -420.225389    -0.005562  119.789141 -459.825901         -0.199295
/ifs/jwst/wit/nircam/distortions/coron_test/4447/JHAT-4447-A2-F210M-RND-GAIA/jw04447003004_02101_00006_nrca2_jhat.fits  04447 nrca2_full  f210m maskrnd    206.407   -697.765        -1.241204 117.863312 -420.226255    -0.007475  119.789141 -459.825901         -0.199295
/ifs/jwst/wit/nircam/distortions/coron_test/4447/JHAT-4447-A2-F210M-RND-GAIA/jw04447003005_02101_00001_nrca2_jhat.fits  04447 nrca2_full  f210m maskrnd    206.407   -697.765        -1.241204 117.866385 -420.225684    -0.003975  119.789141 -459.825901         -0.199295
/ifs/jwst/wit/nircam/distortions/coron_test/4447/JHAT-4447-A2-F210M-RND-GAIA/jw04447003005_02101_00002_nrca2_jhat.fits  04447 nrca2_full  f210m maskrnd    206.407   -697.765        -1.241204 117.859870 -420.229881    -0.005770  119.789141 -459.825901         -0.199295
/ifs/jwst/wit/nircam/distortions/coron_test/4447/JHAT-4447-A2-F210M-RND-GAIA/jw04447003005_02101_00003_nrca2_jhat.fits  04447 nrca2_full  f210m maskrnd    206.407   -697.765        -1.241204 117.868735 -420.228527    -0.008494  119.789141 -459.825901         -0.199295
/ifs/jwst/wit/nircam/distortions/coron_test/4447/JHAT-4447-A2-F210M-RND-GAIA/jw04447003005_02101_00004_nrca2_jhat.fits  04447 nrca2_full  f210m maskrnd        NaN        NaN              NaN        NaN         NaN          NaN         NaN         NaN               NaN
